Monat,Hauptrefinanzierungssatz,Einlagefazilität,Spitzenrefinanzierungssatz
2007-01,3.50,2.50,4.50 
2007-02,3.50,2.50,4.50 
2007-03,3.50,2.50,4.50 
2007-04,3.75,2.75,4.75
2007-05,3.75,2.75,4.75
2007-06,3.75,2.75,4.75
2007-07,4.0,3.0,5.0
2007-08,4.0,3.0,5.0
2007-09,4.0,3.0,5.0
2007-10,4.0,3.0,5.0
2007-11,4.0,3.0,5.0
2007-12,4.0,3.0,5.0
2008-01,4.0,3.0,5.0
2008-02,4.0,3.0,5.0
2008-03,4.0,3.0,5.0
2008-04,4.0,3.0,5.0
2008-05,4.0,3.0,5.0
2008-06,4.0,3.0,5.0
2008-07,4.0,3.0,5.0
2008-08,4.25,3.25,5.25
2008-09,4.25,3.25,5.25
2008-10,4.25,3.25,5.25
2008-11,3.75,3.25,4.25
2008-12,3.25,2.75,3.75
2009-01,2.5,2.0,3.0
2009-02,2.0,1.0,3.0
2009-03,2.0,1.0,3.0
2009-04,1.5,0.5,2.5
2009-05,1.25,0.25,2.25
2009-06,1.0,0.25,1.75
2009-07,1.0,0.25,1.75
2009-08,1.0,0.25,1.75
2009-09,1.0,0.25,1.75
2009-10,1.0,0.25,1.75
2009-11,1.0,0.25,1.75
2009-12,1.0,0.25,1.75
2010-01,1.0,0.25,1.75
2010-02,1.0,0.25,1.75
2010-03,1.0,0.25,1.75
2010-04,1.0,0.25,1.75
2010-05,1.0,0.25,1.75
2010-06,1.0,0.25,1.75
2010-07,1.0,0.25,1.75
2010-08,1.0,0.25,1.75
2010-09,1.0,0.25,1.75
2010-10,1.0,0.25,1.75
2010-11,1.0,0.25,1.75
2010-12,1.0,0.25,1.75
2011-01,1.0,0.25,1.75
2011-02,1.0,0.25,1.75
2011-03,1.0,0.25,1.75
2011-04,1.0,0.25,1.75
2011-05,1.25,0.5,2.0
2011-06,1.25,0.5,2.0
2011-07,1.25,0.5,2.0
2011-08,1.5,0.75,2.25
2011-09,1.5,0.75,2.25
2011-10,1.5,0.75,2.25
2011-11,1.5,0.75,2.25
2011-12,1.25,0.5,2.0
2012-01,1.0,0.25,1.75
2012-02,1.0,0.25,1.75
2012-03,1.0,0.25,1.75
2012-04,1.0,0.25,1.75
2012-05,1.0,0.25,1.75
2012-06,1.0,0.25,1.75
2012-07,1.0,0.25,1.75
2012-08,0.75,0.0,1.5
2012-09,0.75,0.0,1.5
2012-10,0.75,0.0,1.5
2012-11,0.75,0.0,1.5
2012-12,0.75,0.0,1.5
2013-01,0.75,0.0,1.5
2013-02,0.75,0.0,1.5
2013-03,0.75,0.0,1.5
2013-04,0.75,0.0,1.5
2013-05,0.75,0.0,1.5
2013-06,0.5,0.0,1.0
2013-07,0.5,0.0,1.0
2013-08,0.5,0.0,1.0
2013-09,0.5,0.0,1.0
2013-10,0.5,0.0,1.0
2013-11,0.5,0.0,1.0
2013-12,0.25,0.0,0.75
2014-01,0.25,0.0,0.75
2014-02,0.25,0.0,0.75
2014-03,0.25,0.0,0.75
2014-04,0.25,0.0,0.75
2014-05,0.25,0.0,0.75
2014-06,0.25,0.0,0.75
2014-07,0.15,-0.1,0.4
2014-08,0.15,-0.1,0.4
2014-09,0.15,-0.1,0.4
2014-10,0.05,-0.2,0.3
2014-11,0.05,-0.2,0.3
2014-12,0.05,-0.2,0.3
2015-01,0.05,-0.2,0.3
2015-02,0.05,-0.2,0.3
2015-03,0.05,-0.2,0.3
2015-04,0.05,-0.2,0.3
2015-05,0.05,-0.2,0.3
2015-06,0.05,-0.2,0.3
2015-07,0.05,-0.2,0.3
2015-08,0.05,-0.2,0.3
2015-09,0.05,-0.2,0.3
2015-10,0.05,-0.2,0.3
2015-11,0.05,-0.2,0.3
2015-12,0.05,-0.2,0.3
2016-01,0.05,-0.3,0.3
2016-02,0.05,-0.3,0.3
2016-03,0.05,-0.3,0.3
2016-04,0.0,-0.4,0.25
2016-05,0.0,-0.4,0.25
2016-06,0.0,-0.4,0.25
2016-07,0.0,-0.4,0.25
2016-08,0.0,-0.4,0.25
2016-09,0.0,-0.4,0.25
2016-10,0.0,-0.4,0.25
2016-11,0.0,-0.4,0.25
2016-12,0.0,-0.4,0.25
2017-01,0.0,-0.4,0.25
2017-02,0.0,-0.4,0.25
2017-03,0.0,-0.4,0.25
2017-04,0.0,-0.4,0.25
2017-05,0.0,-0.4,0.25
2017-06,0.0,-0.4,0.25
2017-07,0.0,-0.4,0.25
2017-08,0.0,-0.4,0.25
2017-09,0.0,-0.4,0.25
2017-10,0.0,-0.4,0.25
2017-11,0.0,-0.4,0.25
2017-12,0.0,-0.4,0.25
2018-01,0.0,-0.4,0.25
2018-02,0.0,-0.4,0.25
2018-03,0.0,-0.4,0.25
2018-04,0.0,-0.4,0.25
2018-05,0.0,-0.4,0.25
2018-06,0.0,-0.4,0.25
2018-07,0.0,-0.4,0.25
2018-08,0.0,-0.4,0.25
2018-09,0.0,-0.4,0.25
2018-10,0.0,-0.4,0.25
2018-11,0.0,-0.4,0.25
2018-12,0.0,-0.4,0.25
2019-01,0.0,-0.4,0.25
2019-02,0.0,-0.4,0.25
2019-03,0.0,-0.4,0.25
2019-04,0.0,-0.4,0.25
2019-05,0.0,-0.4,0.25
2019-06,0.0,-0.4,0.25
2019-07,0.0,-0.4,0.25
2019-08,0.0,-0.4,0.25
2019-09,0.0,-0.4,0.25
2019-10,0.0,-0.5,0.25
2019-11,0.0,-0.5,0.25
2019-12,0.0,-0.5,0.25
2020-01,0.0,-0.5,0.25
2020-02,0.0,-0.5,0.25
2020-03,0.0,-0.5,0.25
2020-04,0.0,-0.5,0.25
2020-05,0.0,-0.5,0.25
2020-06,0.0,-0.5,0.25
2020-07,0.0,-0.5,0.25
2020-08,0.0,-0.5,0.25
2020-09,0.0,-0.5,0.25
2020-10,0.0,-0.5,0.25
2020-11,0.0,-0.5,0.25
2020-12,0.0,-0.5,0.25
2021-01,0.0,-0.5,0.25
2021-02,0.0,-0.5,0.25
2021-03,0.0,-0.5,0.25
2021-04,0.0,-0.5,0.25
2021-05,0.0,-0.5,0.25
2021-06,0.0,-0.5,0.25
2021-07,0.0,-0.5,0.25
2021-08,0.0,-0.5,0.25
2021-09,0.0,-0.5,0.25
2021-10,0.0,-0.5,0.25
2021-11,0.0,-0.5,0.25
2021-12,0.0,-0.5,0.25
2022-01,0.0,-0.5,0.25
2022-02,0.0,-0.5,0.25
2022-03,0.0,-0.5,0.25
2022-04,0.0,-0.5,0.25
2022-05,0.0,-0.5,0.25
2022-06,0.0,-0.5,0.25
2022-07,0.0,-0.5,0.25
2022-08,0.5,0.0,0.75
2022-09,0.5,0.0,0.75
2022-10,1.25,0.75,1.5
2022-11,2.0,1.5,2.25
2022-12,2.0,1.5,2.25
2023-01,2.5,2.0,2.75
2023-02,2.5,2.0,2.75
2023-03,3.0,2.5,3.25
2023-04,3.5,3.0,3.75
2023-05,3.5,3.0,3.75
2023-06,3.75,3.25,4.0
2023-07,4.0,3.5,4.25
2023-08,4.25,3.75,4.5
2023-09,4.25,3.75,4.5
2023-10,4.25,3.75,4.5
2023-11,4.25,3.75,4.5
2023-12,4.25,3.75,4.5
